Date,Open,High,Low,Close,Adj Close,Volume
3/6/2019,174.720001,174.75,173.279999,173.559998,168.363647,27194600
3/5/2019,174.550003,175.089996,173.690002,174.550003,169.324005,22319900
3/4/2019,175.539993,175.789993,172.470001,174.419998,169.197906,38063500
3/1/2019,174.440002,174.649994,173.179993,174.389999,169.168793,31431200
2/28/2019,173.050003,173.809998,172.699997,173.190002,168.004715,25085500
2/27/2019,172.899994,173.800003,171.759995,173.589996,168.392746,25162000
2/26/2019,173.100006,174.25,172.809998,173.699997,168.499466,21939700
2/25/2019,174.210007,174.660004,173.399994,173.520004,168.32486,32608800
2/22/2019,171.990005,173.009995,171.899994,172.889999,167.713684,27735400
2/21/2019,171.789993,172.259995,170.710007,171.619995,166.48175,25207400
2/20/2019,172.399994,173.080002,171.320007,172.25,167.092865,32593000
2/19/2019,171.410004,172.800003,171.380005,172.279999,167.121964,19487700
2/15/2019,172.520004,172.559998,171.139999,171.940002,166.79213,32521700
2/14/2019,170.399994,171.830002,169.830002,171.220001,166.093704,30326800
2/13/2019,171.649994,172.160004,170.820007,171.009995,165.889999,26094100
2/12/2019,169.630005,171.139999,169.330002,170.889999,165.773621,29722100
2/11/2019,169.169998,169.580002,167.979996,168.399994,163.358093,21434100
2/8/2019,166.759995,168.589996,166.570007,168.559998,163.513336,29020700
2/7/2019,169.029999,169.449997,166.949997,168.229996,163.193237,42036200
2/6/2019,171.070007,171.369995,169.75,170.520004,165.414627,27970000
2/5/2019,169.759995,171.229996,169.690002,171.029999,165.909393,28156400
2/4/2019,167.479996,169.529999,167.330002,169.529999,164.454315,26718800
2/1/2019,167.330002,168.600006,166.990005,167.449997,162.4366,32143700
1/31/2019,166.699997,168.990005,166.470001,168.160004,163.12532,37258400
1/30/2019,163.399994,166.279999,162.889999,165.679993,160.719559,41346500
1/29/2019,163.199997,163.240005,160.990005,161.570007,156.73262,30784200
1/28/2019,163.020004,163.119995,161.75,163.110001,158.226532,33491200
1/25/2019,164.509995,165.649994,163.949997,165.149994,160.205444,36515900
1/24/2019,162.679993,163.440002,162.059998,163.199997,158.313843,32417800
1/23/2019,162.770004,163.509995,160.320007,162.149994,157.295242,38106100
1/22/2019,164.059998,164.139999,160.759995,161.940002,157.091553,56711700
1/18/2019,164.779999,166.020004,163.820007,165.25,160.302444,57183200
1/17/2019,161.830002,164.360001,161.570007,163.630005,158.730957,39329000
1/16/2019,162.649994,163.779999,162.289993,162.350006,157.489243,33812200
1/15/2019,160,162.600006,159.910004,162.380005,157.518402,40874200
1/14/2019,159.330002,159.960007,158.589996,159.270004,154.501495,30710200
1/11/2019,160.330002,160.860001,159.789993,160.690002,155.878983,30176600
1/10/2019,159.600006,161.369995,158.699997,161.279999,156.451309,38943400
1/9/2019,160.139999,161.520004,159.470001,160.820007,156.005096,46491700
1/8/2019,159.539993,160.110001,157.199997,159.520004,154.743988,49388700
1/7/2019,156.619995,158.860001,156.110001,158.089996,153.356796,52059300
1/4/2019,152.339996,157,151.740005,156.229996,151.552505,74709300
1/3/2019,152.600006,153.259995,149.490005,149.820007,145.334412,74820200
1/2/2019,150.990005,155.75,150.880005,154.880005,150.24295,58576700
12/31/2018,154.470001,154.979996,152.710007,154.259995,149.641495,53015300
12/28/2018,154.149994,155.589996,151.720001,152.970001,148.390137,77856600
12/27/2018,150.369995,153.179993,147.080002,153.050003,148.467697,85824300
12/26/2018,145.080002,152.539993,144.089996,152.460007,147.895386,98982100
12/24/2018,146.080002,147.979996,143.460007,143.5,139.203613,56163300
12/21/2018,153.050003,154.089996,146.720001,147.570007,142.743378,141129400
12/20/2018,154.149994,155.869995,150.389999,152.289993,147.309021,99002100
12/19/2018,158.179993,160.720001,153.339996,154.529999,149.475754,81856500
12/18/2018,158.649994,159.949997,157.039993,158.419998,153.238541,63642100
12/17/2018,160.389999,161.669998,156.169998,157.429993,152.280869,74834100
12/14/2018,163.210007,163.809998,160.699997,161.080002,155.811493,56547400
12/13/2018,166.130005,166.820007,164.029999,165.100006,159.700073,46378500
12/12/2018,166,167.600006,164.960007,165.050003,159.651657,53780000
12/11/2018,165.729996,165.770004,162.229996,163.610001,158.258743,59058300
12/10/2018,161.080002,163.779999,159.410004,163.070007,157.736465,73960800
12/7/2018,166.160004,167.119995,160.860001,161.380005,156.101715,80432200
12/6/2018,162.380005,166.910004,161.770004,166.889999,161.431488,71715500
12/4/2018,171.429993,171.910004,165.520004,165.720001,160.299759,70594700
12/3/2018,173.110001,173.309998,169.509995,172.330002,166.693527,50771700
